"Plot_Name","Unit_Code","Year","Network","cycle","DBI","lat_rank","SapPlotNum","SapPlotSize","SeedPlotNum","SeedPlotSize","ShrubPlotNum","ShrubPlotSize","HPlotNum","HPlotSize","excludeEvent","Tree_BA_Total","Tree_BA_Native","Tree_BA_NatCan","Tree_BA_Exotic","Tree_Dens_Total","Tree_Dens_Native","Tree_Dens_NatCan","Tree_Dens_Exotic","tree_10cm_BA_Total","tree_10cm_BA_Native","tree_10cm_BA_NatCan","tree_10cm_BA_Exotic","tree_20cm_BA_Total","tree_20cm_BA_Native","tree_20cm_BA_NatCan","tree_20cm_BA_Exotic","tree_30cm_BA_Total","tree_30cm_BA_Native","tree_30cm_BA_NatCan","tree_30cm_BA_Exotic","tree_40cm_BA_Total","tree_40cm_BA_Native","tree_40cm_BA_NatCan","tree_40cm_BA_Exotic","tree_10cm_Dens_Total","tree_10cm_Dens_Native","tree_10cm_Dens_NatCan","tree_10cm_Dens_Exotic","tree_20cm_Dens_Total","tree_20cm_Dens_Native","tree_20cm_Dens_NatCan","tree_20cm_Dens_Exotic","tree_30cm_Dens_Total","tree_30cm_Dens_Native","tree_30cm_Dens_NatCan","tree_30cm_Dens_Exotic","tree_40cm_Dens_Total","tree_40cm_Dens_Native","tree_40cm_Dens_NatCan","tree_40cm_Dens_Exotic","Sap_Dens_Total","Sap_Dens_Native","Sap_Dens_NatCan","Sap_Dens_Exotic","Sap_BA_Total","Sap_BA_Native","Sap_BA_NatCan","Sap_BA_Exotic","Seed_Dens_Total","Seed_Dens_Native","Seed_Dens_NatCan","Seed_Dens_Exotic","Tree_BA_NatOth","Tree_Dens_NatOth","tree_10cm_BA_NatOth","tree_10cm_Dens_NatOth","tree_20cm_BA_NatOth","tree_20cm_Dens_NatOth","tree_30cm_BA_NatOth","tree_30cm_Dens_NatOth","tree_40cm_BA_NatOth","tree_40cm_Dens_NatOth","Sap_BA_NatOth","Sap_Dens_NatOth","Seed_Dens_NatOth","stock_final","Sor_sap","Hor_sap","Sor_seed","Hor_seed"
"ALPO-006","ALPO",2009,"ERMN",1,2,29,4,12.57,4,12.57,4,12.57,12,1,0,41.2304964146103,41.2304964146103,39.8711821248385,0,481.001605788839,481.001605788839,438.560287631001,0,2.78419539953362,2.78419539953362,2.52738368788642,0,3.43864137435386,3.43864137435386,3.43864137435386,0,10.9439033693246,10.9439033693246,9.84140079119999,0,24.0637562713982,24.0637562713982,24.0637562713982,0,183.912378683968,183.912378683968,155.618166578742,0,70.7355302630646,70.7355302630646,70.7355302630646,0,113.176848420903,113.176848420903,99.0297423682904,0,113.176848420903,113.176848420903,113.176848420903,0,0.159108989657916,0.159108989657916,0.0795544948289578,0,3.64739260143198,3.64739260143198,2.99133054892601,0,0.37788385043755,0.37788385043755,0.178997613365155,0,1.3593142897718,42.441318157838,0.2568117116472,28.294212105226,0,0,1.10250257812461,14.1471060526126,0,0,0.65606205250597,0.0795544948289582,0.198886237072395,106.25,0.5,0.479307201458523,0.363636363636364,0.586145425678593
"ALPO-006","ALPO",2013,"ERMN",2,3,29,4,12.57,4,12.57,4,12.57,12,1,0,43.4679127577618,43.4679127577619,42.1981208995542,0,481.001605788839,481.001605788839,452.707393683613,0,2.26489418518433,2.26489418518433,2.13288276537382,0,4.54404395925991,4.54404395925991,4.54404395925991,0,9.58022240267496,9.58022240267496,8.4424419642778,0,27.0787522106427,27.0787522106427,27.0787522106427,0,155.618166578742,155.618166578742,141.471060526129,0,99.0297423682904,99.0297423682904,99.0297423682904,0,99.0297423682904,99.0297423682904,84.8826363156775,0,127.323954473516,127.323954473516,127.323954473516,0,0.139220365950676,0.139220365950676,0.0795544948289578,0,3.02647673031026,3.02647673031026,2.91322792362769,0,0.338106603023071,0.338106603023071,0.139220365950676,0,1.2697918582077,28.294212105226,0.13201141981051,14.147106052613,0,0,1.13778043839716,14.1471060526129,0,0,0.11324880668257,0.0596658711217182,0.198886237072395,79.5,0.5,0.463735460690579,0.333333333333333,0.698701298701299
"ALPO-006","ALPO",2017,"ERMN",3,3,29,4,12.57,4,12.57,4,12.57,12,1,0,45.8603294633708,45.8603294633708,44.7508157577401,0,481.001605788839,481.001605788839,466.854499736226,0,2.45282795798755,2.45282795798755,2.45282795798755,0,3.86934238151781,3.86934238151781,3.86934238151781,0,9.08151012536033,9.08151012536033,7.97199641972961,0,30.4566489985051,30.4566489985051,30.4566489985051,0,155.618166578742,155.618166578742,155.618166578742,0,84.8826363156775,84.8826363156775,84.8826363156775,0,99.0297423682904,99.0297423682904,84.8826363156775,0,141.471060526129,141.471060526129,141.471060526129,0,0.139220365950676,0.139220365950676,0.0795544948289578,0,2.77654832935561,2.77654832935561,2.71016109785203,0,0.35799522673031,0.35799522673031,0.258552108194113,0,1.1095137056307,14.147106052613,0,0,0,0,1.10951370563072,14.1471060526129,0,0,0.0663872315035801,0.0596658711217182,0.099443118536197,61.5,0.363636363636364,0.514460578423137,0.2,0.574875096850036
"ALPO-009","ALPO",2011,"ERMN",1,3,29,4,12.57,4,12.57,4,12.57,12,1,0,44.8178159144152,44.8178159144152,44.6858044946047,0,608.325560262356,608.325560262356,594.178454209743,0,2.35318328053105,2.35318328053105,2.22117186072053,0,8.04279658529081,8.04279658529081,8.04279658529081,0,18.3747763014528,18.3747763014528,18.3747763014528,0,16.0470597471406,16.0470597471406,16.0470597471406,0,141.471060526129,141.471060526129,127.323954473516,0,169.765272631355,169.765272631355,169.765272631355,0,198.059484736581,198.059484736581,198.059484736581,0,99.0297423682904,99.0297423682904,99.0297423682904,0,0.119331742243437,0.119331742243437,0,0,0.226497613365155,0.226497613365155,0,0,0.258552108194113,0.258552108194113,0.178997613365155,0,0.132011419810496,14.147106052613,0.13201141981052,14.147106052613,0,0,0,0,0,0,0.226497613365155,0.119331742243437,0.079554494828958,104,0.285714285714286,0.966820987654321,0.666666666666667,0.748249411627975
"ALPO-009","ALPO",2015,"ERMN",2,3,29,4,12.57,4,12.57,4,12.57,12,1,0,46.4415419336063,46.4415419336063,46.2971415959363,0,580.03134815713,580.03134815713,565.884242104517,0,2.14748279951497,2.14748279951497,2.00308246184495,0,7.76175148364219,7.7617514836422,7.7617514836422,0,19.5559901747493,19.5559901747493,19.5559901747493,0,16.9763174756999,16.9763174756999,16.9763174756999,0,127.323954473516,127.323954473516,113.176848420903,0,155.618166578742,155.618166578742,155.618166578742,0,198.059484736581,198.059484736581,198.059484736581,0,99.0297423682904,99.0297423682904,99.0297423682904,0,0.159108989657916,0.159108989657916,0,0,0.410038782816229,0.410038782816229,0,0,0.278440731901352,0.278440731901352,0.159108989657916,0,0.14440033767,14.1471060526129,0.14440033767002,14.147106052613,0,0,0,0,0,0,0.410038782816229,0.159108989657916,0.119331742243436,109.75,0.285714285714286,0.964716006884682,0.5,0.85168362073655
"ALPO-009","ALPO",2019,"ERMN",3,3,29,4,12.57,4,12.57,4,12.57,12,1,0,48.52212457668,48.52212457668,48.52212457668,0,551.737136051904,551.737136051904,551.737136051904,0,1.81593757977539,1.81593757977539,1.81593757977539,0,6.96886074063418,6.96886074063418,6.96886074063418,0,19.9613689004767,19.9613689004767,19.9613689004767,0,19.7759573557937,19.7759573557937,19.7759573557937,0,99.0297423682904,99.0297423682904,99.0297423682904,0,141.471060526129,141.471060526129,141.471060526129,0,198.059484736581,198.059484736581,198.059484736581,0,113.176848420903,113.176848420903,113.176848420903,0,0.0596658711217184,0.0596658711217184,0.0198886237072395,0,0.128869331742243,0.128869331742243,0.0156205250596659,0,0.338106603023071,0.338106603023071,0.198886237072395,0,0,0,0,0,0,0,0,0,0,0,0.113248806682577,0.0397772474144789,0.139220365950676,57.5,0.285714285714286,0.927777777777778,0.25,0.871402940685226
"ALPO-012","ALPO",2010,"ERMN",1,2,29,4,12.57,4,12.57,4,12.57,12,1,0,43.9877361955545,43.9877361955545,43.666624333546,0,353.677651315323,353.677651315323,325.383439210097,0,0.881668728386856,0.881668728386856,0.560556866378284,0,2.12643830585946,2.12643830585946,2.12643830585946,0,14.1773109304203,14.1773109304203,14.1773109304203,0,26.8023182308879,26.8023182308879,26.8023182308879,0,56.5884242104517,56.5884242104517,28.2942121052258,0,42.4413181578388,42.4413181578388,42.4413181578388,0,141.471060526129,141.471060526129,141.471060526129,0,113.176848420903,113.176848420903,113.176848420903,0,0.437549721559268,0.437549721559268,0.0994431185361973,0,1.0661008353222,1.0661008353222,0.210877088305489,0,5.98647573587908,5.98647573587908,2.2673031026253,0,0.3211118620085,28.294212105226,0.321111862008572,28.2942121052259,0,0,0,0,0,0,0.855223747016711,0.338106603023071,3.71917263325378,830,0.444444444444444,0.79842781172634,0.666666666666667,0.575587518678163
"ALPO-012","ALPO",2014,"ERMN",2,3,29,4,12.57,4,12.57,4,12.57,12,1,0,42.4304325539097,42.4304325539097,42.4304325539097,0,311.236333157484,311.236333157484,311.236333157484,0,0.574756899584061,0.574756899584061,0.574756899584061,0,2.31856097734701,2.31856097734701,2.31856097734701,0,13.0260526827285,13.0260526827285,13.0260526827285,0,26.5110619942502,26.5110619942502,26.5110619942502,0,28.2942121052258,28.2942121052258,28.2942121052258,0,42.4413181578388,42.4413181578388,42.4413181578388,0,127.323954473516,127.323954473516,127.323954473516,0,113.176848420903,113.176848420903,113.176848420903,0,0.636435958631663,0.636435958631663,0.119331742243437,0,1.64406026252983,1.64406026252983,0.351461813842482,0,3.30151153540175,3.30151153540175,1.49164677804296,0,0,0,0,0,0,0,0,0,0,0,1.29259844868735,0.517104216388226,1.80986475735879,819,0.25,0.946720484359233,0.545454545454545,0.631678016985226
"ALPO-015","ALPO",2009,"ERMN",1,2,29,4,12.57,4,12.57,4,12.57,12,1,0,30.693860664319,30.182537246403,29.4457355234441,0.511323417916001,466.854499736226,424.413181578388,381.971863420549,42.4413181578388,3.95228701992245,3.44096360200645,2.70416187904754,0.511323417916001,5.34136804596832,5.34136804596832,5.34136804596832,0,8.03100766883437,8.03100766883437,8.03100766883437,0,13.3691979295939,13.3691979295939,13.3691979295939,0,212.206590789194,169.765272631355,127.323954473516,42.4413181578388,113.176848420903,113.176848420903,113.176848420903,0,84.8826363156775,84.8826363156775,84.8826363156775,0,56.5884242104517,56.5884242104517,56.5884242104517,0,0.298329355608592,0.278440731901352,0,0.0198886237072395,1.44099343675418,1.19106503579952,0,0.249928400954654,3.50039777247414,3.34128878281623,1.80986475735879,0.159108989657916,0.736801722958901,42.441318157839,0.73680172295891,42.441318157839,0,0,0,0,0,0,1.19106503579952,0.278440731901352,1.53142402545744,418.5,0.25,0.993541189595444,0.714285714285714,0.709473140050834
"ALPO-015","ALPO",2013,"ERMN",2,3,29,4,12.57,4,12.57,4,12.57,12,1,0,32.2145197758287,31.7021963555743,30.8431387911732,0.512323420254436,438.560287631001,396.118969473162,353.677651315323,42.4413181578388,3.56663056253645,3.05430714228201,2.19524957788088,0.512323420254436,4.59661074885031,4.59661074885031,4.59661074885031,0,9.73194497968973,9.73194497968973,9.73194497968973,0,14.3193334847523,14.3193334847522,14.3193334847522,0,183.912378683968,141.471060526129,99.0297423682904,42.4413181578388,99.0297423682904,99.0297423682904,99.0297423682904,0,99.0297423682904,99.0297423682904,99.0297423682904,0,56.5884242104517,56.5884242104517,56.5884242104517,0,0.37788385043755,0.35799522673031,0.0198886237072395,0.0198886237072395,3.13191527446301,2.88198687350835,0.999713603818616,0.249928400954654,1.98886237072395,1.84964200477327,0.974542561654734,0.139220365950676,0.859057564401102,42.441318157839,0.85905756440113,42.4413181578386,0,0,0,0,0,0,1.88227326968973,0.33810660302307,0.875099443118536,251.5,0.444444444444444,0.979452191334337,0.769230769230769,0.760453244617378
